time,open,high,low,close,Volume
2025-05-01T17:00:00Z,40789.5,40948.5,40789.5,40846.5,10483
2025-05-01T18:00:00Z,40845.5,40966.5,40837.5,40903.5,9688
2025-05-01T19:00:00Z,40904.5,40972.5,40697.5,40744.5,11911
2025-05-01T20:00:00Z,40741.5,40813.5,40607.5,40685.5,6077
2025-05-01T22:00:00Z,40674.5,40724.5,40644.5,40701.5,1553
2025-05-01T23:00:00Z,40698.5,40741.5,40678.5,40703.5,2060
2025-05-02T00:00:00Z,40706.5,41052.5,40681.5,41036.5,6826
2025-05-02T01:00:00Z,41034.5,41131.5,41008.5,41073.5,5378
2025-05-02T02:00:00Z,41071.5,41109.5,41027.5,41089.5,3119
2025-05-02T03:00:00Z,41090.5,41103.5,41078.5,41086.5,1416
2025-05-02T04:00:00Z,41088.5,41126.5,41052.5,41085.5,1585
2025-05-02T05:00:00Z,41087.5,41092.5,41020.5,41036.5,2044
2025-05-02T06:00:00Z,41034.5,41041.5,40982.5,40999.5,3866
2025-05-02T07:00:00Z,41000.5,41078.5,40977.5,40980.5,5280
2025-05-02T08:00:00Z,40981.5,41001.5,40869.5,40870.5,4365
2025-05-02T09:00:00Z,40870.5,40951.5,40843.5,40929.5,3458
2025-05-02T10:00:00Z,40930.5,40967.5,40896.5,40911.5,3312
2025-05-02T11:00:00Z,40910.5,40949.5,40882.5,40908.5,3269
2025-05-02T12:00:00Z,40908.5,41199.5,40894.5,41197.5,5471
2025-05-02T13:00:00Z,41198.5,41263.5,41020.5,41081.5,13868
2025-05-02T14:00:00Z,41083.5,41253.5,41051.5,41206.5,14852
2025-05-02T15:00:00Z,41207.5,41245.5,41066.5,41237.5,10019
2025-05-02T16:00:00Z,41239.5,41387.5,41229.5,41358.5,11381
2025-05-02T17:00:00Z,41360.5,41371.5,41267.5,41303.5,9031
2025-05-02T18:00:00Z,41302.5,41372.5,41235.5,41292.5,7295
2025-05-02T19:00:00Z,41291.5,41367.5,41243.5,41291.5,11840
2025-05-02T20:00:00Z,41293.5,41340.5,41289.5,41321.5,2158
2025-05-04T22:00:00Z,41279.5,41281.5,41167.5,41186.5,2732
2025-05-04T23:00:00Z,41186.5,41200.5,41069.5,41116.5,2459
2025-05-05T00:00:00Z,41114.5,41133.5,41101.5,41110.5,2191
2025-05-05T01:00:00Z,41109.5,41112.5,41010.5,41015.5,2091
2025-05-05T02:00:00Z,41013.5,41049.5,41010.5,41035.5,1331
2025-05-05T03:00:00Z,41037.5,41059.5,41006.5,41047.5,1402
2025-05-05T04:00:00Z,41046.5,41048.5,40992.5,40997.5,1413
2025-05-05T05:00:00Z,40998.5,41053.5,40998.5,41034.5,1632
2025-05-05T06:00:00Z,41037.5,41110.5,41036.5,41073.5,2127
2025-05-05T07:00:00Z,41074.5,41076.5,41027.5,41071.5,2818
2025-05-05T08:00:00Z,41071.5,41105.5,41001.5,41018.5,2869
2025-05-05T09:00:00Z,41019.5,41060.5,40987.5,41038.5,2543
2025-05-05T10:00:00Z,41039.5,41076.5,41029.5,41069.5,2180
2025-05-05T11:00:00Z,41065.5,41077.5,41013.5,41042.5,2196
2025-05-05T12:00:00Z,41044.5,41079.5,41026.5,41075.5,2615
2025-05-05T13:00:00Z,41076.5,41170.5,41033.5,41162.5,10585
2025-05-05T14:00:00Z,41162.5,41352.5,41150.5,41345.5,13696
2025-05-05T15:00:00Z,41346.5,41376.5,41274.5,41369.5,9088
2025-05-05T16:00:00Z,41369.5,41426.5,41358.5,41400.5,6260
2025-05-05T17:00:00Z,41399.5,41430.5,41327.5,41396.5,5925
2025-05-05T18:00:00Z,41396.5,41436.5,41361.5,41375.5,4355
2025-05-05T19:00:00Z,41375.5,41375.5,41193.5,41220.5,9294
2025-05-05T20:00:00Z,41219.5,41227.5,41177.5,41207.5,1966
2025-05-05T22:00:00Z,41208.5,41243.5,41201.5,41214.5,648
2025-05-05T23:00:00Z,41213.5,41227.5,41201.5,41205.5,819
2025-05-06T00:00:00Z,41205.5,41237.5,41190.5,41212.5,1623
2025-05-06T01:00:00Z,41213.5,41232.5,41169.5,41187.5,1839
2025-05-06T02:00:00Z,41185.5,41193.5,41161.5,41180.5,1138
2025-05-06T03:00:00Z,41179.5,41197.5,41149.5,41196.5,750
2025-05-06T04:00:00Z,41197.5,41201.5,41161.5,41183.5,470
2025-05-06T05:00:00Z,41184.5,41184.5,41101.5,41116.5,887
2025-05-06T06:00:00Z,41116.5,41187.5,41111.5,41186.5,1476
2025-05-06T07:00:00Z,41187.5,41190.5,41058.5,41062.5,2784
2025-05-06T08:00:00Z,41060.5,41060.5,40935.5,40990.5,4212
2025-05-06T09:00:00Z,40989.5,40996.5,40914.5,40968.5,3433
2025-05-06T10:00:00Z,40968.5,41029.5,40947.5,41028.5,2235
2025-05-06T11:00:00Z,41029.5,41054.5,40883.5,40933.5,3898
2025-05-06T12:00:00Z,40933.5,40971.5,40902.5,40959.5,3590
2025-05-06T13:00:00Z,40958.5,40969.5,40741.5,40823.5,11003
2025-05-06T14:00:00Z,40823.5,41092.5,40807.5,41048.5,11954
2025-05-06T15:00:00Z,41050.5,41093.5,40962.5,40968.5,9328
2025-05-06T16:00:00Z,40967.5,41169.5,40869.5,40875.5,12312
2025-05-06T17:00:00Z,40875.5,40962.5,40775.5,40779.5,10875
2025-05-06T18:00:00Z,40780.5,40940.5,40778.5,40940.5,9001
2025-05-06T19:00:00Z,40936.5,40947.5,40803.5,40807.5,9543
2025-05-06T20:00:00Z,40811.5,40819.5,40656.5,40718.5,4343
2025-05-06T22:00:00Z,40732.5,41231.5,40732.5,41099.5,8039
2025-05-06T23:00:00Z,41100.5,41114.5,41058.5,41099.5,3229
2025-05-07T00:00:00Z,41098.5,41164.5,41030.5,41126.5,4195
2025-05-07T01:00:00Z,41126.5,41156.5,41075.5,41098.5,3386
2025-05-07T02:00:00Z,41098.5,41100.5,41007.5,41037.5,2928
2025-05-07T03:00:00Z,41038.5,41069.5,41035.5,41046.5,1698
2025-05-07T04:00:00Z,41045.5,41088.5,41040.5,41049.5,1097
2025-05-07T05:00:00Z,41049.5,41051.5,40999.5,41011.5,1930
2025-05-07T06:00:00Z,41010.5,41034.5,40970.5,40994.5,2510
2025-05-07T07:00:00Z,40993.5,41047.5,40983.5,41036.5,3176
2025-05-07T08:00:00Z,41035.5,41059.5,41000.5,41050.5,2725
2025-05-07T09:00:00Z,41049.5,41069.5,41013.5,41029.5,2496
2025-05-07T10:00:00Z,41027.5,41129.5,40998.5,41106.5,2833
2025-05-07T11:00:00Z,41107.5,41134.5,41049.5,41086.5,2300
2025-05-07T12:00:00Z,41087.5,41094.5,40990.5,41009.5,4848
2025-05-07T13:00:00Z,41009.5,41079.5,40938.5,41066.5,12663
2025-05-07T14:00:00Z,41068.5,41075.5,40930.5,40977.5,11350
2025-05-07T15:00:00Z,40977.5,41089.5,40938.5,41085.5,12635
2025-05-07T16:00:00Z,41084.5,41208.5,41037.5,41202.5,8969
2025-05-07T17:00:00Z,41201.5,41238.5,40991.5,41037.5,8180
2025-05-07T18:00:00Z,41036.5,41206.5,40821.5,41184.5,19800
2025-05-07T19:00:00Z,41185.5,41269.5,40917.5,41091.5,21090
2025-05-07T20:00:00Z,41090.5,41155.5,41048.5,41079.5,4708
2025-05-07T22:00:00Z,41057.5,41084.5,41019.5,41075.5,1230
2025-05-07T23:00:00Z,41074.5,41106.5,41059.5,41068.5,1236
2025-05-08T00:00:00Z,41070.5,41207.5,41037.5,41175.5,3567
2025-05-08T01:00:00Z,41174.5,41271.5,41155.5,41184.5,5792
2025-05-08T02:00:00Z,41185.5,41260.5,41185.5,41249.5,1976
2025-05-08T03:00:00Z,41252.5,41361.5,41244.5,41352.5,1902
2025-05-08T04:00:00Z,41347.5,41372.5,41332.5,41358.5,1174
2025-05-08T05:00:00Z,41357.5,41369.5,41323.5,41330.5,1578
2025-05-08T06:00:00Z,41329.5,41329.5,41267.5,41288.5,2071
2025-05-08T07:00:00Z,41288.5,41375.5,41276.5,41309.5,3334
2025-05-08T08:00:00Z,41311.5,41416.5,41305.5,41416.5,1890
2025-05-08T09:00:00Z,41415.5,41481.5,41408.5,41467.5,1375
2025-05-08T10:00:00Z,41468.5,41514.5,41449.5,41514.5,1919
2025-05-08T11:00:00Z,41515.5,41520.5,41406.5,41419.5,2997
2025-05-08T12:00:00Z,41419.5,41442.5,41263.5,41334.5,6441
2025-05-08T13:00:00Z,41335.5,41377.5,41239.5,41286.5,11806
2025-05-08T14:00:00Z,41288.5,41389.5,41148.5,41215.5,16474
2025-05-08T15:00:00Z,41216.5,41713.5,41179.5,41648.5,15546
2025-05-08T16:00:00Z,41649.5,41776.5,41646.5,41760.5,9848
2025-05-08T17:00:00Z,41761.5,41768.5,41554.5,41559.5,8749
2025-05-08T18:00:00Z,41558.5,41671.5,41545.5,41622.5,8461
2025-05-08T19:00:00Z,41620.5,41683.5,41360.5,41386.5,13339
2025-05-08T20:00:00Z,41387.5,41437.5,41359.5,41368.5,2844
2025-05-08T22:00:00Z,41370.5,41385.5,41328.5,41346.5,1111
2025-05-08T23:00:00Z,41345.5,41360.5,41288.5,41305.5,1786
2025-05-09T00:00:00Z,41305.5,41308.5,41208.5,41266.5,2772
2025-05-09T01:00:00Z,41267.5,41343.5,41261.5,41340.5,1523
2025-05-09T02:00:00Z,41340.5,41411.5,41320.5,41339.5,1682
2025-05-09T03:00:00Z,41337.5,41379.5,41286.5,41371.5,2256
2025-05-09T04:00:00Z,41374.5,41393.5,41356.5,41382.5,1041
2025-05-09T05:00:00Z,41379.5,41384.5,41338.5,41378.5,2092
2025-05-09T06:00:00Z,41378.5,41385.5,41333.5,41350.5,2272
2025-05-09T07:00:00Z,41350.5,41392.5,41307.5,41330.5,3667
2025-05-09T08:00:00Z,41330.5,41331.5,41272.5,41304.5,3270
